best_fit,mean_fit
0.3722510927832569,25.34523024604639
0.2737574026476011,44.119976549089316
0.1570327976468529,35.53119038746194
0.1570327976468529,49.22060861887258
0.0154323403250412,85.99839146179464
0.0154323403250412,66.9790555324986
0.0154323403250412,187.27322361532606
0.0049474277230655206,81.30093809476263
0.0006568161950700313,24.20509112741378
0.0006568161950700313,37.87558832734311
0.0006568161950700313,63.43248319948212
0.0006568161950700313,92.04585311882128
0.0006568161950700313,30.544290215718227
0.0006568161950700313,46.613473431936846
0.0006206103516925333,147.61094946114082
0.0006206103516925333,47.07826268902363
0.0006206103516925333,53.37986327749763
8.597200898644167e-05,47.98051643010437
8.597200898644167e-05,55.630970465535675
4.059751420757373e-05,78.8382653931422
4.059751420757373e-05,71.72812690979316
4.059751420757373e-05,40.80815045452318
4.059751420757373e-05,22.08168375770608
6.730604107351616e-06,28.315419483590457
6.730604107351616e-06,10.223577676189922
6.730604107351616e-06,19.948413357899682
6.730604107351616e-06,33.083471203833994
6.730604107351616e-06,108.3596681204965
6.730604107351616e-06,166.23384460764882
4.174932674779541e-06,216.43735176128325
1.044338957887603e-06,892.0003578838853
3.2804740000375116e-07,2947.008391739167
3.2804740000375116e-07,7016.024320213549
3.2804740000375116e-07,9549.411185909297
3.2804740000375116e-07,3967.911807646834
3.2804740000375116e-07,80.01264594577829
3.2804740000375116e-07,1367.5404481495104
3.2804740000375116e-07,261.2069880092266
1.5423044072633944e-07,1614.7504258059823
1.5423044072633944e-07,442.853683482464
1.5423044072633944e-07,36.255939555921934
1.5423044072633944e-07,253.76900437198216
1.5423044072633944e-07,502.94399610260285
1.4549462561067212e-07,821.5019450140841
1.4549462561067212e-07,590.3190515045749
1.4549462561067212e-07,185.41080943266297
1.4549462561067212e-07,945.1717803863768
1.4549462561067212e-07,866.2570957035915
1.4549462561067212e-07,122.99616925960399
2.757341425867787e-08,435.8502886114579
2.757341425867787e-08,219.53643837431213
1.9390033542031945e-08,70.70422942411493
1.9390033542031945e-08,269.77247620018653
1.1556015917713308e-08,51.73135198991967
1.1556015917713308e-08,61.25045619147269
1.1556015917713308e-08,23.57934639085176
1.1556015917713308e-08,23.194286670420567
1.5363790395136229e-09,28.241511339860793
1.5363790395136229e-09,79.13275825399424
1.5363790395136229e-09,35.503440597667414
1.3834742558086796e-10,79.69273069717534
1.3834742558086796e-10,38.815575622243685
1.3834742558086796e-10,65.71469995619452
1.3834742558086796e-10,23.113847708239014
1.3834742558086796e-10,17.58559493668448
1.3834742558086796e-10,11.902214404839919
1.3834742558086796e-10,50.298982583528456
1.3834742558086796e-10,23.27560680878975
1.3834742558086796e-10,10.48344586111129
1.3834742558086796e-10,6.849866631701342
1.3834742558086796e-10,1.6739520865279898
1.3834742558086796e-10,6.64429475781055
4.35805942445832e-11,12.360635165732113
4.35805942445832e-11,6.911992257743053
4.35805942445832e-11,15.667093453989441
4.35805942445832e-11,3.9121695298311447
3.838356911861091e-11,17.010427127577234
3.838356911861091e-11,2.3460366571963145
3.838356911861091e-11,2.1432062421796463
1.6048018505846424e-11,1.7994110053244907
1.1962392873751619e-11,2.3453840681246603
1.1962392873751619e-11,6.947520324077669
2.141862742159429e-12,1.6811698460040667
4.761051660301192e-13,2.7140706754190433
4.761051660301192e-13,0.228071252237377
3.5662679893955495e-13,1.0360710396732542
1.7626753386861098e-13,0.5182961160732125
1.7626753386861098e-13,0.8597314718358804
1.7626753386861098e-13,0.47651893490480485
1.5538128727793523e-13,0.15322893959375
1.5538128727793523e-13,0.48548806721448967
1.399596493441122e-13,0.18353472106313404
1.2515243512805457e-13,0.08040650294926614
1.2515243512805457e-13,0.03498715601744036
1.2515243512805457e-13,0.012290332372747972
1.1812783911193925e-13,0.01877573803394106
1.0958066178564744e-13,0.01873605459797918
1.058770023627334e-13,0.027535591792626275
1.0416767961921496e-13,0.0551298466819111
1.0332672022078665e-13,0.07546109382563586
